Unnamed: 0.1,Unnamed: 0,Text,Sentiment,Timestamp,User,Platform,Hashtags,Retweets,Likes,Country,Year,Month,Day,Hour
605,609,Exploring the world of digital art. It's never too late to discover new passions. #DigitalArtistry #LateBloomer , Curiosity ,2023-06-13 14:45:00, ArtAdventurer , Facebook , #ArtDiscovery #SeniorArtist ,22.0,45.0, Canada,2023,6,13,14
34,35, Feeling inspired after attending a workshop.       , Positive  ,2023-01-26 09:45:00, WorkshopAttendee, Instagram , #Inspiration #Workshop                  ,25.0,50.0,USA,2023,1,26,9
301,305," Eyes wide open in the night, fearful shadows dancing on the walls, the mind a prisoner of imagined horrors. ", Fearful ,2022-05-12 02:00:00, NightPrisoner , Facebook , #Fearful #ImaginedHorrors ,18.0,36.0, India ,2022,5,12,2
458,462,"A soul weathered by the storm of heartbreak, seeking refuge in the calm after. ", Heartbreak ,2019-04-18 11:00:00, StormSeeker , Twitter , #Heartbreak #CalmAfterStorm ,22.0,45.0, Brazil ,2019,4,18,11
635,639,"Attended a wine tasting event, savoring the richness of flavors that age like fine wine. Cheers to the golden years! #WineTasting #SeniorWineLover ", Joy ,2023-07-13 20:00:00, SeniorWineConnoisseur , Instagram , #AgedToPerfection #SeniorCheers ,35.0,70.0, UK,2023,7,13,20
558,562,"Despite meticulous training, the swimmer faces disappointment as a split-second miscalculation costs them the lead in a crucial race. ", Miscalculation ,2015-06-28 20:00:00, SwimmingEnthusiastRaceSetback , Instagram , #Miscalculation #SwimmingDisappointment ,28.0,55.0, Australia ,2015,6,28,20
40,41, Excited about the upcoming gaming tournament.      , Positive  ,2023-01-28 09:00:00, GamingEnthusiast, Instagram , #Gaming #Tournament                     ,30.0,60.0,USA,2023,1,28,9
357,361,Reflecting on personal growth achieved through life experiences.  , Reflection    ,2019-03-08 18:30:00, GrowthSeeker    , Instagram , #Reflection #PersonalGrowth              ,35.0,70.0, USA               ,2019,3,8,18
727,731,Achieving a personal best in a track and field competition. The thrill of victory and self-improvement! , Happy ,2016-09-14 12:30:00, TrackFieldSuccessHighSchool , Twitter , #AthleticAchievement #HighSchoolSports ,26.0,51.0, Canada,2016,9,14,12
516,520,"Immersed in the pulsating beats of a Bruno Mars concert, where 'Uptown Funk' becomes a city of joy. ", Joy ,2017-03-28 20:30:00, MarsJoyExplorer , Facebook , #Joy #BrunoMars ,28.0,55.0, USA ,2017,3,28,20
437,441,"Sorrowful echoes, a symphony of pain played by the strings of loss. ", Sorrow      ,2018-05-22 20:45:00, StringsOfSorrow , Twitter  , #Sorrow #SymphonyOfLoss                ,18.0,35.0, Germany     ,2018,5,22,20
356,360,Anticipation for an upcoming adventure in an exotic destination.   , Anticipation  ,2022-07-25 10:00:00, Wanderlust      , Twitter  , #Anticipation #AdventureAwaits           ,40.0,80.0, India             ,2022,7,25,10
165,167," Overwhelmed by grief, missing a loved one dearly.  ", Grief           ,2022-07-05 15:45:00, MourningHeart     , Instagram , #Grief #Loss                                   ,8.0,15.0, Canada          ,2022,7,5,15
699,703,Encountering online toxicity during a gaming session. Hateful comments can ruin the fun. , Hate ,2023-09-26 14:15:00, GamingToxicityHighSchool , Twitter , #OnlineGaming #HighSchoolGamer ,16.0,32.0, USA,2023,9,26,14
67,69, Finding acceptance in the midst of life's challenges.   , Acceptance   ,2023-02-16 18:20:00, AcceptanceSeeker, Facebook , #Acceptance #Challenges                     ,15.0,30.0, Canada     ,2023,2,16,18
79,81, Heartfelt sadness after bidding farewell to a dear friend. , Sadness      ,2023-02-21 14:45:00, FarewellHeart   , Facebook , #Sadness #Farewell                          ,25.0,50.0, India      ,2023,2,21,14
73,75, Excitement building up for the upcoming vacation!       , Excitement   ,2023-02-18 18:45:00, VacationDreamer , Facebook , #Excitement #TravelPlans                   ,22.0,45.0, Canada    ,2023,2,18,18
409,413,Euphoria floods in as the final puzzle piece fits perfectly.       , Euphoria     ,2022-06-08 15:30:00, PuzzleSolver    , Instagram , #Euphoria #PerfectPuzzle               ,20.0,40.0, Denmark         ,2022,6,8,15
